keyword,English,Arab,Bulgarian,Mandarin,Croatian,Czech,Danish,Dutch,Estonian,Finnish,Flemish,French,German,Greek,Hindi,Hungarian,Indonesia,Irish,Italian,Japanese,Korean,Latvian,Lithuanian,Luxembourgish,Maltese,Polish,Portuguese,Romanian,Slovak,Slovenian,Spanish,Swedish,Turkish
low carbon,low carbon, انبعاثات منخفضة للكربون,нисковъглероден ,低碳,niska razina ugljika,nízký obsah uhlíku,lavt kulstof,lage koolstof,madal süsiniku,vähähiilinen,lage koolstof,Faible carbone,Niedriger Kohlenstoff,Χαμηλής άνθρακα εκπομπής,कम कार्बन,Alacsony szén,Karbon rendah,Cárbón íseal,Basso contenuto di carbonio,低炭素,낮은 탄소,Zems oglekļa,Mažas anglies,Nidriger Kohlenstoff,Karbon iżgħar,Niskowęglowy,Baixo carbono,Carbon scăzut,Nízky uhlík,Nizka raven ogljika,Bajo en carbono,Låg kolhalt,Düşük karbon
pv,pv, الخلايا الشمسية,фотоволтаика ,光伏,PV,PV,PV,PV,PV,PV,PV,Panneaux solaires photovoltaïques,Photovoltaikanlage,Φωτοβολταϊκά συστήματα,फोटोवोल्टेक,Napelem,Panel surya fotovoltaik,Pannáin fotaoilteacha,Pannelli solari fotovoltaici,太陽光発電,태양 광전지,Fotovoltāžas paneļi,Fotovoltaiškos sistemos,Fotovoltaïsche Paneele,Panel fotovoltaji,Panele fotowoltaiczne,Painéis solares fotovoltaicos,Panouri fotovoltaice,Fotovoltaické panely,Fotonapetostne celice,Paneles fotovoltaicos,Solpaneler,Fotovoltaik panelleri
solar,solar, طاقة شمسية,слънчев ,太阳能,solarni,solární,solenergi,zonne-energie,päikese,aurinkoenergia,zonne-energie,solaire,Solar,ηλιακό,सोलर,napelem,solar,gréine,solare,太陽光,태양,saules,saulės,Solar,solar,słoneczny,solar,solárny,sončna,solar,sol,sol,güneş
wind,wind, طاقة الرياح,вятърен ,风能,vjetar,vítr,vind,wind,tuul,tuuli,wind,éolien,Wind,αιολικό,हवा,szél,angin,gaoth,eolico,風力,바람,vēja,vėjo,Wind,riħ,wiatrowy,vento,vietor,veter,viento,vind,vind,rüzgar
biofuel,biofuel, وقود حيوي,биогориво ,生物燃料,biogorivo,biopalivo,biobrændstof,biobrandstof,biokütus,biopolttoaine,biobrandstof,Biocarburant,Biokraftstoff,Βιοκαύσιμο,बायोफ्यूल,Biogázolaj,Bahan Bakar Nabati,Breosla,Biocarburante,バイオ燃料,바이오 연료,Biodegvielas,Biokuras,Biocarburant,Biokarburanti,Biopaliwo,Biocombustível,Biocarburant,Biopalivo,Biogorivo,Biocombustible,Biodrivmedel,Biyoyakıt
ethanol,ethanol, إيثانول,етанол ,乙醇,etanol,ethanol,ethanol,ethanol,etanool,etanoli,ethanol,Ethanol,Ethanol,Αιθανόλη,एथानॉल,Etanol,Etanol,Eitileán,Etanolo,エタノール,에탄올,Etanols,Etanolis,Ethanol,Ettanolo,Etanol,Etanol,Etanol,Etanol,Etanol,Etanol,Etanol,Etanol
biogas,biogas, غاز حيوي,биогаз ,生物气,bioplin,bioplyn,biogas,biogas,biogaas,biokaasu,biogas,Biogaz,Biogas,Βιοαέριο,बायोगैस,Biogáz,Biogas,Biogás,Biogas,バイオガス,바이오 가스,Biogāze,Biogazas,Biogas,Biogas,Biogaz,Biogás,Bioplyn,Bioplin,Bioplin,Biogás,Biogas,Biyogaz
hydro,hydro, طاقة مائية,хидро ,水力,hidro,hydro,hydro,hydro,hüdro,hydro,hydro,Hydraulique,Wasserstoff,Υδρογόνο,हाइड्रोजन,Hidrogén,Hidrogen,Hidreafóir,Idrogeno,水素,수소,Ūdensspēks,Vanduo,Wasserstoff,Idrogeno,Wodór,Hidrogênio,Vodă,Vodík,Vodik,Hidrógeno,Vattenkraft,Hidrojen
nuclear,nuclear, طاقة نووية,ядрена ,核能,nuklearna,jaderná,kernekraft,nucleair,tuumaelektrija,ydinvoima,kernenergie,nucléaire,nuklear,πυρηνικός,पारमाणविक,nukleáris,nuklir,núicléach,nucleare,原子力,원자력,kodolēmā,branduolinis,nucleaire,nuklejja,jądrowy,nuclear,nuclear,jadrový,jedrski,nuclear,kärn-,nükleer
renewable,renewable, متجددة,възобновяем ,可再生能源,obnovljiv,obnovitelný,vedvarende,hernieuwbaar,taastuv,uusiutuva,hernieuwbaar,renouvelable,erneuerbar,ανανεώσιμη,नवीनीकृत,megújuló,terbarukan,inathnuaite,rinnovabile,再生可能,재생 가능,atjaunojams,atsinaujinantis,erneierbar,rinnovabbli,odnawialny,renovável,regenerabil,obnoviteľný,obnovljiv,renovable,förnybar,yenilenebilir
hydrogen,hydrogen, الهيدروجين,водород ,氢气,vodik,vodík,brint,waterstof,vesinik,vety,waterstof,hydrogène,Wasserstoff,υδρογόνο,हाइड्रोजन,hidrogén,hidrogen,hidrigine,idrogeno,水素,수소,ūdeņradis,vandenilio,Wasserstoff,idroġenu,wodór,hidrogênio,hidrogen,vodík,vodik,hidrógeno,väte-,hidrojen
carbon capture,carbon capture, امساك الكربون,захващане на въглероден диоксид ,碳捕获,hvatanje ugljika,zachycení uhlíku,kulstofopsamling,koolstofopslag,süsiniku kogumine,hiilidioksidin talteenotto,koolstofopslag,captage du carbone,Kohlenstoff-,απορρόφηση,कार्बन कैचर,széndioxid-,penangkapan,glacadh,cattura di carbonio,炭素捕捉,탄소 포획,oglekļa uztveršana,anglies dvideginis,Kohlenstoff-,ċattura,przechwytywanie,captura de,capturare carbon,zachytenie,zajemanje,captura de,kol-,karbon tutma
battery,battery, بطارية,батерия ,电池,baterija,baterie,batteri,batterij,aku,akku,batterij,Batterie,Batterie,Μπαταρία,बैटरी,Akkumulátor,Baterai,Bainne,Batteria,バッテリー,배터리,Baterija,Akumuliatorius,Batterie,Batterija,Bateria,Bateria,Baterie,Batéria,Baterija,Batería,Batteri,Batarya
storage,storage, تخزين,съхранение ,储存,pohrana,skladování,opbevaring,opslag,salvestus,varastointi,opslag,Stockage,Lagerung,Αποθήκευση,स्टोरेज,Tárolás,Penyimpanan,Stóráil,Conservazione,蓄電,저장,Krātuve,Saugykla,Staurom,Ġħażla,Magazynowanie,Armazenamento,Stocare,Skladovanie,Shranjevanje,Almacenamiento,Förvaring,Depolama
methane,methane, الميثان,метан ,甲烷,metan,methan,metan,methaan,metaan,metaani,methaan,Méthane,Methan,Μεθάνιο,मीथेन,Metán,Metana,Metháin,Metano,メタン,메탄,Metāns,Metanas,Methan,Metan,Metano,Metan,Metán,Metán,Metan,Metano,Metan,Metan
mass transit,mass transit, وسائل النقل الجماعي,обществен транспорт на големи разстояния ,大众运输,javni prijevoz,městská hromadná doprava,offentlig transport,openbaar vervoer,ühistransport,joukkoliikenne,openbaar vervoer,Transports en commun,Öffentlicher Nahverkehr,Μαζική μεταφορά,सार्वजनिक परिवहन,Tömegközlekedés,Transportasi umum,Iompair poiblí,Trasporto pubblico,公共交通,대중 교통,Sabiedriskais transports,Viešasis transportas,ëffentlechen Transport,Trasport pubbliku,Transport publiczny,Transporte público,Transport în comun,MHD,Javni prevoz,Transporte público,Kollektivtrafik,Toplu taşıma
