Unnamed: 0,title,link,snippet,Renewable,hydrogen,USD,dollars,billion,million
0,Solar photovoltaic (PV) cost data - GOV.UK,https://www.gov.uk/government/statistics/solar-pv-cost-data,This table contains information on the cost per kW of solar PV installed by month.,0,0,0,0,0,0
1,UK Solar PV Strategy - GOV.UK,https://www.gov.uk/government/publications/uk-solar-pv-strategy-part-1-roadmap-to-a-brighter-future,"Oct 8, 2013 ... The Solar PV roadmap and strategy set out the guiding principles for deployment of solar in the UK.",1,0,0,0,0,0
2,Solar photovoltaics deployment - GOV.UK,https://www.gov.uk/government/statistics/solar-photovoltaics-deployment,Updated table. 28 September 2017. August PV deployment stats published. 31 August 2017. July 2017 Solar PV deployment figures published. 27 July 2017. Solar ...,1,0,0,0,0,0
3,Private Venture Security Grading and Exhibition Clearance ...,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/414857/20150310_PV_Ex_Guidance_Document.pdf,Section Two. Who should apply for PV/Ex? • MOD Form 680 linkage. • Exhibition Clearances link to Export Licences. Section Three About the PV/ ...,0,0,0,0,0,0
4,"Defence security: scientific, technical and industrial security ...",https://www.gov.uk/government/publications/private-venture-pv-grading-and-exhibition-clearance-information-sheets,"Defence security guidance on private venture (PV) grading, exhibition clearance and authored materials.",0,0,0,0,0,0
5,Solar PV cost controls comprehensive review (Phase 2A) - GOV.UK,https://www.gov.uk/government/consultations/solar-pv-cost-controls-comprehensive-review-phase-2a,"Feb 9, 2012 ... What generation tariffs should be applied to solar PV installations with an eligibility date on or after 1 July 2012.",0,0,0,0,0,0
6,UK Solar PV Strategy Part 2: Delivering a Brighter Future,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/302049/uk_solar_pv_strategy_part_2.pdf,"Feb 13, 2014 ... This Solar PV Strategy, the first ever of its kind in the UK, sets out our clear ambition to see a further step change in deployment. In ...",4,0,0,0,0,0
7,“Power to the pupils”: Solar PV for schools - GOV.UK,https://www.gov.uk/government/publications/power-to-the-pupils-solar-pv-for-schools,"Apr 4, 2014 ... Guidance for schools on the benefits of solar PV, with practical advice on how to get started.",1,0,0,0,0,1
8,Solar PV cost data: 2020/21 - GOV.UK,https://www.gov.uk/government/statistics/solar-pv-cost-data-202021,"May 27, 2021 ... Details. Experimental statistics which show information on the cost per kW of solar PV installed by month during the financial year 2020/21.",0,0,0,0,0,0
9,Explanation of rate of return calculation for domestic PV - GOV.UK,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/42836/3742-explanation-rate-return-calc-domestic-pv.pdf,The consultation proposes solar PV generation tariffs that aim to provide around a 4.5% rate of return on capital for well-sited installations up to 4kW systems ...,0,0,0,0,0,0
11,Solar Taskforce - GOV.UK,https://www.gov.uk/government/groups/solar-taskforce,The Solar Taskforce has been established to drive forward the actions needed by government and industry to meet the solar deployment ambition of 70 ...,2,0,0,0,0,0
12,'Untapped potential' of commercial buildings could revolutionise UK ...,https://www.gov.uk/government/news/untapped-potential-of-commercial-buildings-could-revolutionise-uk-solar-power,"May 26, 2023 ... New Solar Taskforce meets to explore how to drive more rooftop solar installation.",4,0,0,0,0,2
13,Solar heliospheric observatory (SOHO) - Case study - GOV.UK,https://www.gov.uk/government/case-studies/solar-heliospheric-observatory-soho,"Apr 25, 2014 ... A space-based observatory that has been viewing and investigating the Sun from its deep core through to its outer atmosphere - the corona.",0,1,0,0,1,5
