ID,Code_Region,Country,name,Type,description,Link
1,ARGENTINA,Argentina,Ministry of Energy,Governmental Entities,responsible for energy policy and regulation,argentina.gob.ar
2,ARGENTINA,Argentina,National Electricity Regulator,Regulatory and Advisory Entities,responsible for overseeing the electricity sector,enre.gov.ar
3,ARGENTINA,Argentina,National Institute of Statistics and Census,"Research, Education, and Development Institutions",collects and publishes energy data and statistics,indec.gob.ar
4,ARGENTINA,Argentina,National Agency for Investment and International Trade,Financial and Funding Entities,facilitates foreign investment in the energy sector,cnyor.cancilleria.gob.ar
5,ARGENTINA,Argentina,National Research Council,"Research, Education, and Development Institutions",conducts energy research and advises policymakers,conicet.gov.ar
6,ARGENTINA,Argentina,National Oil and Gas Company,Sector-Specific Entities,responsible for exploration and production of oil and gas,beccarv.com.ar
7,ARGENTINA,Argentina,National Renewable Energy Agency,Sector-Specific Entities,promotes renewable energy development and implementation,cnyor.cancilleria.gob.ar
8,ARGENTINA,Argentina,National Rural Electrification Administration,Rural Electrification Agency,responsible for electrifying rural areas,ri.conicet.gov.ar
9,ARGENTINA,Argentina,National Electric Utility Company,DSO,responsible for distributing electricity to the population,enre.gov.ar
10,ARGENTINA,Argentina,National Transmission Operator,TSO,responsible for operating and maintaining the national electricity transmission grid,cdi.mecon.gob.ar
11,ARGENTINA,Argentina,Independent Power Producers,IPP,privately-owned companies that generate electricity for sale to the national grid,argentina.gob.ar
12,ARGENTINA,Argentina,Municipal Energy Departments,Local/Regional/Municipal Government Entities,responsible for managing energy services at the local level,economia.gob.ar
13,ARGENTINA,Argentina,Association of Renewable Energy Companies,Industry and Professional Associations,represents and advocates for renewable energy companies,cnyor.cancilleria.gob.ar
14,ARGENTINA,Argentina,Environmentalist NGOs,NGOs and Civil Society,advocate for sustainable and environmentally-friendly energy policies,ecohouse.org.ar
15,ARGENTINA,Argentina,Consumer Protection Association,NGOs and Civil Society,represents and protects the rights of energy consumers,repositorio.uca.edu.ar
16,ARGENTINA,Argentina,International Energy Agency,International Entities,provides guidance and support for national energy policies,comunicarseweb.com.ar
17,ARGENTINA,Argentina,United Nations Development Programme,International Entities,supports sustainable energy development in Argentina,pnud.org.ar
18,ARGENTINA,Argentina,Association of Argentinian Energy Investors,Commercial Entities,represents and advocates for energy investors in Argentina,cnyor.cancilleria.gob.ar
19,ARGENTINA,Argentina,Argentinian Chamber of Oil and Gas Companies,Industry and Professional Associations,represents and advocates for oil and gas companies in Argentina.,ealem.cancilleria.gob.ar
20,AUNZ,Australia,"Department of Industry, Innovation and Science",Governmental Entities,responsible for policy and regulation of the energy sector,industry.gov.au
21,AUNZ,Australia,Australian Energy Market Commission,Regulatory and Advisory Entities,responsible for market rules and regulations,aemc.gov.au
22,AUNZ,Australia,Australian Energy Market Operator,TSO,responsible for operating and managing the National Electricity Market,aemo.com.au
23,AUNZ,Australia,Electricity Networks Corporation (ENA),Industry and Professional Associations,represents distributors and transmission companies,energynetworks.com.au
24,AUNZ,Australia,Clean Energy Council,Industry and Professional Associations,represents companies and professionals in the renewable energy sector,cleanenergycouncil.org.au
25,AUNZ,Australia,Australian Renewable Energy Agency (ARENA),Financial and Funding Entities,provides funding for renewable energy projects,arena.gov.au
26,AUNZ,Australia,Clean Energy Finance Corporation (CEFC),Financial and Funding Entities,provides funding for clean energy projects,cefc.com.au
27,AUNZ,Australia,Energy Consumers Australia,NGOs and Civil Society,represents consumer interests in the energy sector,energyconsumersaustralia.com.au
28,AUNZ,Australia,Australian Energy Regulator,Regulatory and Advisory Entities,responsible for monitoring and enforcing energy market rules,aer.gov.au
29,AUNZ,Australia,Department of the Environment and Energy,Governmental Entities,responsible for developing national energy policy,dcceew.gov.au
30,AUNZ,Australia,National Energy Resources Australia (NERA),"Research, Education, and Development Institutions",promotes innovation and growth in the energy resources sector,nera.org.au
31,AUNZ,Australia,Rural Development Corporations,Sector-Specific Entities,responsible for programs and initiatives to support rural development and energy access,agriculture.gov.au
32,AUNZ,Australia,- National Farmers' Federation,NGOs and Civil Society,represents the interests of farmers in the energy sector,nff.org.au
33,AUNZ,Australia,Australian Petroleum Production & Exploration Association (APPEA),Industry and Professional Associations,represents Australia's oil and gas sector,energyproducers.au
34,AUNZ,Australia,Australia Pacific LNG,Commercial Entities,operates a liquefied natural gas production facility in Queensland,aplng.com.au
35,AUNZ,Australia,Pacific Hydro,IPP,renewable energy company with hydro and wind power projects in Australia,pacificblue.com.au
36,AUNZ,Australia,World Wildlife Fund (WWF) Australia,NGOs and Civil Society,advocacy group for sustainable energy and reducing carbon emissions,wwf.org.au
37,AUNZ,Australia,National Rural Electric Cooperative Association (NRECA),International Entities,represents rural electric cooperatives in Australia,scholar.google.com.au
38,AUNZ,Australia,Australian Energy Council,Industry and Professional Associations,represents electricity and gas retail businesses,energycouncil.com.au
39,AUNZ,Australia,Climate Council,NGOs and Civil Society,provides independent and scientifically-based information on climate change and renewable energy,climatecouncil.org.au
40,AUNZ,New Zealand,"Ministry of Business, Innovation, and Employment",Governmental Entities (Central/Federal),responsible for developing energy policy and regulating energy markets,mbie.govt.nz
41,AUNZ,New Zealand,Transpower,TSO,operates New Zealand's national grid,transpower.co.nz
42,AUNZ,New Zealand,Electricity Authority,Regulatory and Advisory Entities,responsible for overseeing the electricity market and promoting competition,ea.govt.nz
43,AUNZ,New Zealand,Energy Efficiency and Conservation Authority (EECA),Governmental Entities (Central/Federal),responsible for promoting energy efficiency and renewable energy,eeca.govt.nz
44,AUNZ,New Zealand,Electricity Distribution Association (EDANZ),DSO,represents electricity distribution companies,ed.org.nz
45,AUNZ,New Zealand,Independent Power Association of New Zealand (IPANZ),IPP,represents independent electricity generators,ipanz.org.nz
