title,link,snippet
GIS Unit – Ministry of Energy and Mineral Development,https://memd.go.ug/gis-unit/,"Jun 13, 2023 ... The GIS Unit under the Sectorial Planning and Policy Analysis Department contributes the projects and programmes in the energy sector through geospatial ..."
10th Utilities GIS Conference 2023 — ESGWG - Uganda,https://energy-gis.ug/conference2023,"Sep 30, 2023 ... Thank you for attending the10th Utilities GIS Conference! · World Resources Institute (WRI) Energy Access Explorer: A Digital Public Good to Deliver Climate- ..."
Ministry of Energy and Mineral Development – MEMD UGANDA,https://memd.go.ug/,"Mar 15, 2023 ... Welcome to the GIS Unit under the Sectorial Planning and Policy Analysis Department ... Uganda Energy Access Scale-Up Project (EASP)."
Geographic Information System key in promoting energy access ...,https://www.newvision.co.ug/category/news/geographic-information-system-key-in-promotin-NV_170719,"Sep 21, 2023 ... Energy state minister Sidronius Okaasai says GIS technology is the backbone for data-driven decisions, ensuring equitable and adequate energy access for all ..."
Govt backs Geographical Information System Technology in PDM ...,https://www.independent.co.ug/govt-backs-geographical-information-system-technology-in-pdm-implementation/,"Sep 22, 2023 ... ... energy projects, ranging from solar farms to wind energy facilities. Sidronious Okaasai Opolot, the Minister of State for Energy says GIS offers multi ..."
Job Details (GEO – INFORMATION SYSTEMS OFFICER [GIS UNIT]),https://vacancies.psc.go.ug/ors/Advert/Details/4840,"Nov 23, 2022 ... ... Energy and Mineral Development. Applications should be filled and submitted ON-LINE no later than Wednesday 30th November 2022 by 5.00 pm. The link to the e ..."
Master of Science in Geo-information Science and Technology ...,https://cedat.mak.ac.ug/graduate-programmes/master-of-science-in-geo-information-science-and-technology/,"Sep 23, 2023 ... ... GIS Consultants and GIS educationists. Target Group As mentioned in Section ... Energy and Power System Engineering Solutions · Makerere University, Regional ..."
Job Details (SURVEYOR [GIS]),https://vacancies.psc.go.ug/ors/Advert/Details/4854,"Nov 23, 2022 ... 2.The Common Cadre positions under Procurement Unit; Human Resource Unit; Accounts Unit and others have been reflected under the Ministry of Energy and Mineral ..."
Geographic Information System (GIS) Coordinator – EACOP Job at ...,https://everjobs.ug/job/geographic-information-system-gis-coordinator-eacop-2/,"Apr 23, 2023 ... Geographic Information System (GIS) Coordinator – EACOP at SeaOwl Energy Services, Kampala. Contract. Find the latest Uganda jobs on Jobs in Uganda – Latest ..."
A Novel Energy Management Technique for Shared Solar and ...,https://nru.uncst.go.ug/xmlui/bitstream/handle/123456789/8263/A%20Novel%20Energy%20Management%20Technique%20for%20Shared%20Solar%20and%20Storage%20Resources%20in%20Remote%20Communities.pdf?sequence=1&isAllowed=y,"Mar 20, 2023 ... Available: http://www.energy-gis.ug/gis-maps. [Accessed: 20-Feb-2020]. [6]. “Kilembe Investments Limited – Lighting villages.” ..."
Sustainable Energy Planning & Land Use Research Unit - My CMS,https://niu.ac.ug/sustainable-energy-planning-land-use-research-unit/,"Oct 17, 2023 ... The human quest for energy shows the relationship between energy (SDG 7) and land ... Certificate Course in Fundamentals of GIS and Remote Sensing. Nexus ..."
National grid in need of reform | Monitor,https://www.monitor.co.ug/uganda/oped/editorial/national-grid-in-need-of-reform-4389256,"Oct 4, 2023 ... A computer-based tool, the GIS links the decision-making process to data churned out around energy access and the like. Consequently, it is supposed to make ..."
"Lack of electricity affecting health ,WRI",https://capitalradio.co.ug/news/2023-06-22-lack-of-electricity-affecting-health-wri/,"Jun 22, 2023 ... The recently launched publication on healthcare electrification was a close collaboration between WRI, the Ugandan Ministry of Health, and the Energy Sector GIS ..."
Pre-conference Workshops | 2023 IALE World Conference,https://iale2023.mak.ac.ug/about/pre-conference-workshops,"Jul 6, 2023 ... ... energy, forestry, environment, and natural resources. Why emphasis is on ... GIS, to mention a few. Despite these efforts, the participation of women ..."
UEDCL Tariff and Charges January – March 2023 : Uganda ...,https://www.uedcl.co.ug/download/uedcl-tariff-and-charges-january-march-2023/,"Jan 2, 2023 ... ... GIS Elevates Uganda's UEDCL Mission. 12th April 2022. ENERGY MINISTER COMMENDS UEDCL FOR POWER RELIABILITY IN. 27th October 2021. VANDALISM IS A THORN IN THE ..."
Lumion - 3D Rendering and Animation | Centmax Limited,https://citi.ac.ug/course/Lumion-3D-Rendering-and-Animation,"Mar 3, 2023 ... ... GIS. Personal Computer with a mouse MS Excel knowledge. A laptop, 16GB RAM ... Energy, Mining & Power 7. ICT, Telecom & Digital Solutions 8. Environment ..."
Nabunya Victo | BUSITEMA UNIVERSITY PEOPLE,https://people.busitema.ac.ug/staff/academic-staff/nabunya-victo,"Apr 20, 2023 ... 'COVID‐19 and the water–energy–food nexus in Africa: Evidence from Nigeria ... GIS & Remote sensing. Hydrological modelling. Courses Taught. Engineering ..."
LG Electronics Neochef MH 6535 GIS Microwave With Grill in ...,https://jiji.ug/central-division/kitchen-appliances/lg-electronics-neochef-mh-6535-gis-microwave-with-grill-rgGFfwvmPCz7gXJKnVzl00dC.html,"Dec 21, 2022 ... LG Electronics Neochef MH 6535 GIS Microwave With Grill. USh 650,000. Promoted ... Energy Saving Mode. Show more. Make an offer. Show contact. EasyBuy.ug. • 4703 ..."
Department of Energy Science & Technology – Faculty of Energy ...,https://feems.mubs.ac.ug/department-of-energy-science-technology/,"Jul 9, 2023 ... Research Areas. Energy consumption; Gender and Energy; Energy Transition; Rural electrification ... GIS and rural electricity planning in Uganda. Journal of ..."
Eni Award 2024,https://news.mak.ac.ug/wp-content/uploads/2023/09/EA2024-Young-Talents-from-Africa-Brochure.pdf,"Sep 19, 2023 ... Title of Thesis: A Study on Energy Efficiency of Off-grid renewable energy ... Title of Thesis: Remote sensing and GIS-based landslide susceptibility mapping and ..."
Bachelor Of Science In Petroleum and Minerals Geoscience,https://nkumbauniversity.ac.ug/program/bachelor-of-science-in-petroleum-and-minerals-management-and-technology/,"Mar 14, 2023 ... GIS Analyst: GIS analysts use geographic information systems to analyze and ... energy exploration, mineral exploration, and environmental monitoring. They ..."
MUST INTERNATIONALISATION AND STRATEGIC WORKSHOP ...,https://www.must.ac.ug/must-internationalisation-and-strategic-workshop/,"Jan 23, 2023 ... ... GIS, laboratory of science), knowledge generation (new methodologies and ... The workshop was a great success and participants showed renewed energy and ..."
Conference Schedule | 3nd International Conference,https://gorilla.mak.ac.ug/about/conference-schedule,"Dec 8, 2022 ... Energy access and livelihood improvement: Evidence from the hybrid-solar ... Where is GIS Technology applied in the Public Health discipline: A Literature ..."
Master of Science in Climate Change and Disaster Risk ...,https://muni.ac.ug/downloads/2023/masters/MU-MSc-Climate-Change-Disaster-Risk-Management.pdf,"Apr 19, 2023 ... GIS and Remote Sensing in Climate. Studies. Core. 30 30 45. 60. 04. MCD1106 ... MCD1202 Cities, Energy and Climate Change. 30 30. -. 45. 03. MCD1203 Biodiversity ..."
Social Work and Social Administration | Makerere University Courses,https://courses.mak.ac.ug/department/social-work-and-social-administration,"Apr 12, 2023 ... Energy use and Conservation, ENV 2205, Year 2, Undergraduate Level ... Geographical Information Systems (GIS), GEO 2203, Year 2, Undergraduate Level."
Water and Environment -,https://kishuassociates.co.ug/business-areas/infrastructure/water-and-environment/,"Jan 15, 2023 ... These services include: identifying, assessing and managing environmental impacts; managing environmental data within Geographic Information Systems (GIS); ..."
Job Advert NVFP 30cmX52cm,https://www.ucmp.ug/storage/app/public/uploads/AoW6vTZfKpiQxWhJRTi5Qdsl0OJYlVcVbnkzT7mL.pdf,"Feb 13, 2023 ... energy resources ... Establish and maintain an effective working relationship with. Partners, Government Authorities and HQ for obtaining and exchanging of GIS ..."
Annual Report 2020-2021 | UETCL,https://uetcl.go.ug/wp-content/uploads/2023/04/Annual-Report-2020-to-2021.pdf,"Apr 14, 2023 ... GIS. Gas Insulated Substation. GWh. Giga Watt ... He has vast working experience within the. Energy Sector as a Commissioner in the Energy Department of the ..."
"Results of search for 'ccl=su:""Nutrition ""' › Busitema Online Library ...",https://libcat.busitema.ac.ug/cgi-bin/koha/opac-search.pl?q=ccl=su%3A%22Nutrition%20%22&sort_by=relevance_dsc&count=20&limit=holdingbranch:ARAL,"Oct 3, 2023 ... GIS applications in agriculture : Nutrient management for energy efficiency ... / jointly organized by the International Atomic Energy Agency and the Food ..."
BIT Short Course Flyer,https://bit.ac.ug/wp-content/uploads/2023/08/BIT-Short-Course-Flyer-2023_1.pdf,"Aug 13, 2023 ... Introduction to GIS. 5 Weeks. 550,000/=. 10. Social Media Management for Business ... Energy Safety, Audit, and Management. 4 Weeks. 550,000/=. 22. Introduction ..."
.:: Bachelor of Science in Environmental Management | Kampala ...,https://www.kiu.ac.ug/academic-programmes.php?i=55&n=bachelor-of-science-in-environmental-management&section=structure-and-content,"Aug 29, 2023 ... Principles Of Gis And Remote Sensing, 4, Core. 6, ENV2109 · Urbanization And ... Energy Resource And Conservation, 4, Core. 4, ENV3109 · Integrated Water Resource ..."
Uganda should start recognizing role of earth scientists,https://observer.ug/viewpoint/77562-uganda-should-start-recognizing-role-of-earth-scientists,"Apr 26, 2023 ... ... (GIS), computer modeling, geology and geophysics. These scientists extensively use their knowledge of the earth to locate and develop energy and mineral ..."
TotalEnergies Uganda Launches the Revolution Hackathon ...,https://totalenergies.ug/totalenergies-uganda-launches-revolution-hackathon,"Jul 31, 2023 ... The challenge is open to Ugandans between 18 and 45 years of age who can work with GIS ... energy sector provide an opportunity for our young people to use their ..."
nwsc corporate plan (2018 –2021),https://www.nwsc.co.ug/wp-content/uploads/2023/03/Corporate-Plan-2018-2021_compressed.pdf,"Mar 24, 2023 ... GIS ... Climate Change; Protection of raw water sources and adoption of alternative sources of energy (solar systems)."
Innovation for Ecosystem Restoration: Africa 2023 - Student Hub ...,https://www.studenthub.ug/news/464/opportunities,"Apr 17, 2023 ... Open GIS Academy Launches GIS Course for M&E personnel ... ... Climate tech solutions include solutions that reduce greenhouse gas emissions, increase energy ..."
