keyword,English,Arab,Bulgarian,Mandarin,Croatian,Czech,Danish,Dutch,Estonian,Finnish,Flemish,French,German,Greek,Hindi,Hungarian,Indonesia,Irish,Italian,Japanese,Korean,Latvian,Lithuanian,Luxembourgish,Maltese,Polish,Portuguese,Romanian,Slovak,Slovenian,Spanish,Swedish,Turkish
million,million,مليون,милион,百万,milijun,milion,million,miljoen,miljon,miljoona,miljoen,million,Million,εκατομμύριο,लाख,millió,juta,milliún,milione,百万,백만,miljons,milijonas,Millioun,miljun,milion,milhão,milion,milión,milijon,millón,miljon,milyon
billion,billion,مليار,милиард,十亿,milijarda,miliarda,milliard,miljard,miljard,miljardi,miljard,milliard,Milliarde,δισεκατομμύριο,अरब,milliárd,miliar,billiún,miliardo,十億,십억,miljards,milijardas,Milliard,biljun,miliard,bilhão,miliard,miliarda,miliarda,billón,miljard,milyar
budget,budget,ميزانية,бюджет,预算,proračun,rozpočet,budget,begroting,eelarve,budjetti,begroting,budget,Haushalt,προϋπολογισμός,बजट,költségvetés,anggaran,buiséad,bilancio,予算,예산,budžets,biudžetas,Budget,baġit,budżet,orçamento,buget,rozpočet,proračun,presupuesto,budget,bütçe
expenditures,expenditures,نفقات,разходи,开支,izdaci,výdaje,udgifter,uitgaven,kulutused,menot,uitgaven,dépenses,Ausgaben,δαπάνες,खर्च,kiadások,pengeluaran,caiteachais,spese,支出,지출,izdevumi,išlaidos,Ausgaben,nefqa,wydatki,despesas,cheltuieli,výdavky,izdatki,gastos,utgifter,harcamalar
investment,investment,استثمار,инвестиция,投资,ulaganje,investice,investering,investering,investeering,sijoitus,investering,investissement,Investition,επένδυση,निवेश,beruházás,investasi,infheistíocht,investimento,投資,투자,ieguldījums,investicija,Investitioun,investiment,inwestycja,investimento,investiție,investícia,investicija,inversión,investering,yatırım
domestic manufacturing,domestic manufacturing,الصناعة المحلية,вътрешно производство,国内制造,domaća proizvodnja,domácí výroba,indenlandsk fremstilling,binnenlandse productie,kohalik tootmine,kotimainen valmistus;kotimainen tuotanto,binnenlandse productie,fabrication domestique,Inlandsfertigung;Inlandslandsproduktion,εγχώρια παραγωγή,घरेलू विनिर्माण,belföldi gyártás,Manufaktur domestic ,déantúsaíocht intíre,produzione nazionale,国内製造,국내 제조,vietējā ražošana,vietinė gamyba,Inlandsfertigung,manifattura domestika,produkcja krajowa,fabricação doméstica,fabricație internă,domáca výroba,domača proizvodnja,Fabricación nacional,inhemsk tillverkning,yerli imalat
domestic,domestic,محلي,вътрешен,国内,domaći,domácí,indenlandsk,binnenlands,kohalik,kotimainen,binnenlands,domestique,inländisch,εγχώριος,घरेलू,belföldi,domestik,intíre;baile,nazionale,国内の,국내,vietējais,vietinis,inländisch,domestiku,krajowy,doméstico;doméstica,intern,domáci,domače,nacional,inhemsk,yerli
manufacturing,manufacturing,الصناعة,производство,制造业,proizvodnja,výroba,fremstilling, maakindustrie,tootmine,valmistus;teollisuus,productie,fabrication,Herstellung,παραγωγή,विनिर्माण,gyártás,manufaktur,déantúsaíocht ,manifattura;produzione,製造,제조,ražošana,gamyba,Herstellung,manifattura,wytwarzanie,fabricação,producție,výroba,proizvodnja,fabricación,tillverkning,imalat
industry,industry,صناعة,индустрия,工业,industrija,průmysl,industri,industrie,tööstus,teollisuus,industrie,industrie,Industrie,βιομηχανία,उद्योग,ipar,industri,tionscal,industria,産業,산업,rūpniecība,pramonė,Industrie,industrijali,przemysł,indústria,industrie,priemysel,industrija,industria,industri,sanayi
production,production,الإنتاج,производство,生产,proizvodnja,výroba,produktion,productie,tootmine,tuotanto,productie,production,Produktion,παραγωγή,उत्पादन,gyártás,produksi,táirgeacht,produzione,生産,생산,ražošana,gamyba,Produktion,produzzjoni,produkcja,produção,producție,výroba,proizvodnja,producción,produktion,üretim
local content,local content,المحلي,местно съдържание,本地内容,lokalni sadržaj,místní obsah,lokalt indhold,lokale inhoudseisen,kohalik sisu,paikallisuusaste,lokale inhoud,contenu local,lokaler Inhalt;lokaler Anteil,τοπικό περιεχόμενο,स्थानीय सामग्री,helyi tartalom,Tingkat Komponen Dalam Negeri (TKDN) ,ábhar áitiúil,contenuto locale,現地調達,현지 콘텐츠,vietējais saturs,vietinis turinys,lokalen Inhalt,kontenut lokali,udział lokalny,conteúdo local,conținut local,miestny obsah,lokalna vsebina,contenido local,lokalt innehåll,yerel içerik
domestic content,domestic content, المحلي,вътрешно съдържание,国内内容,domaći sadržaj,domácí obsah,indenlandsk indhold,Nederlands geproduceerd;Nederlands geproduceerde,kodumaine sisu,Kotimaisuusaste,binnenlandse inhoud,contenu domestique,Inlandsinhalt;Inlandsanteil,εγχώριο περιεχόμενο,घरेलू सामग्री,belföldi tartalom,konten domestik,ábhar intíre,contenuto domestico,国内調達,국내 콘텐츠,vietējais saturs,vietinis turinys,Inlandsinhalt,kontenut domestiku,udział krajowy,conteúdo doméstico,conținut intern,domáci obsah,domača vsebina,contenido doméstico,inhemskt innehåll,yerli içerik
rule of origin,rule of origin,قاعدة المنشأ,правило за произход,原产地规则,pravilo podrijetla,pravidlo původu,oprindelsesregel,oorsprongsregel,päritolureegel,alkuperäsääntö,oorsprongsregel,règle d'origine,Ursprungsregel,κανόνας προέλευσης,उत्पत्ति के नियम,származási szabály,Ketentuan Asal Barang ,riail an bhunaidh;prionsabal na tíre tionscnaimh,Garanzia di origine,原産地規則,원산지 규칙,izcelsmes noteikums,kilmės taisyklė,Herkunftsregel,regola tal-oriġini,zasada pochodzenia,regra de origem,regula de origine,pravidlo pôvodu,pravilo o poreklu,regla de origen,ursprungsregel,köken kuralı
supply chain,supply chain,سلسلة التوريد,верига за доставки,供应链,opskrbni lanac,dodavatelský řetězec,forsyningskæde,Productieketen;supply chain,varustusahel,toimitusketju,leveringsketen,chaîne d'approvisionnement,Lieferkette,αλυσίδα εφοδιασμού,आपूर्ति श्रृंखला,ellátási lánc,pasokan rantai,slabhra soláthair,filiera,サプライチェーン,공급망,piegādes ķēde,tiekimo grandinė,Lieferkette,katina tal-provvista,łańcuch dostaw,cadeia de suprimentos,lanț de aprovizionare,dodávateľský reťazec,oskrbovalna veriga,cadena de suministro,försörjningskedja,tedarik zinciri
export,export,تصدير,износ,出口,izvoz,vývoz,eksport,export,eksport,vienti,export,exportation,Export,εξαγωγή,निर्यात,export,Expor,easpórtáil,Esportazione,輸出,수출,eksports,eksportas,Export,esportazzjoni,eksport,exportação,export,vývoz,izvoz,exportación,export,ihraç
